id,date,market,commodity,price
0,2020-14-15,Nakasero,MAIZE,500
1,2020-03-30,,BEANS,-2000
2,2021-09-08,mukono,MAIZE,500
3,2022-04-08,mukono,MAIZE,500
4,2022-02-20,Nakasero,Maize,500
5,2020-09-27,mukono,BEANS,500
6,2021-10-05,,Beans,500
7,2020-10-23,mukono,MAIZE,500
8,2021-01-08,Bwais,Beans,500
9,2020-03-14,,MAIZE,500
10,2022-08-05,,MAIZE,500
11,2020-11-19,Kansanga,Beans,500
12,2022-06-24,Kansanga,MAIZE,500
13,2022-02-03,,BEANS,500
14,2020-05-21,,BEANS,500
15,2020-06-12,Kansanga,Maize,500
16,2022-05-31,mukono,Maize,500
17,2020-10-27,Kansanga,MAIZE,500
18,2021-06-03,mukono,Beans,500
19,2021-07-06,,Maize,500
19,2022-06-18,Nakasero,MAIZE,500
21,2020-03-11,,MAIZE,500
22,2021-06-24,,BEANS,500
23,2021-11-18,Nakasero,BEANS,500
24,2020-12-12,mukono,MAIZE,500
25,2020-08-22,mukono,Maize,500
26,2021-05-12,Bwais,MAIZE,500
27,2021-02-20,Bwais,Maize,500
28,2022-06-03,mukono,Maize,500
29,2020-07-15,Bwais,BEANS,500
30,2022-08-03,mukono,BEANS,500
31,2022-05-06,mukono,Maize,500
32,2020-08-06,Kansanga,Maize,500
33,2022-03-13,Kansanga,Beans,500
34,2022-09-18,mukono,Maize,500
35,2022-07-30,,MAIZE,500
36,2020-03-10,Bwais,BEANS,500
37,2020-03-24,Kansanga,Beans,500
38,2020-09-28,Kansanga,MAIZE,500
39,2022-08-16,mukono,Maize,500
40,2020-09-28,Bwais,Beans,500
41,2022-05-03,,Beans,500
42,2022-08-12,mukono,MAIZE,500
43,2020-10-15,,MAIZE,500
44,2021-06-01,Kansanga,Beans,500
45,2020-10-10,mukono,Maize,500
46,2022-01-29,Kansanga,BEANS,500
47,2022-07-14,Bwais,Maize,500
48,2021-01-08,mukono,Beans,500
49,2021-07-27,Kansanga,MAIZE,500
50,2022-04-10,Bwais,BEANS,-2000
51,2022-08-11,Kansanga,MAIZE,500
52,2021-04-26,Bwais,MAIZE,500
53,2022-06-11,Bwais,MAIZE,-2000
54,2022-06-04,mukono,Beans,500
55,2020-12-05,mukono,Maize,500
56,2020-09-28,mukono,Maize,500
57,2021-09-12,,Maize,500
58,2020-01-02,,MAIZE,500
59,2021-09-30,Nakasero,Maize,500
60,2020-11-30,Kansanga,Beans,500
61,2021-11-24,Bwais,Beans,500
62,2022-03-15,,Beans,500
63,2022-03-23,Bwais,Maize,500
64,2020-08-28,Nakasero,MAIZE,500
65,2021-05-01,,Maize,500
66,2021-02-13,Bwais,MAIZE,500
67,2022-06-25,mukono,BEANS,500
