market,date,rainfall_mm
mukono,2020-01-01,1.0
mukono,2020-01-02,2.0
mukono,2020-01-03,3.0
mukono,2020-01-04,4.0
mukono,2020-01-05,5.0
mukono,2020-01-06,6.0
mukono,2020-01-07,7.0
mukono,2020-01-08,8.0
mukono,2020-01-09,9.0
mukono,2020-01-10,10.0
mukono,2020-01-11,11.0
mukono,2020-01-12,12.0
mukono,2020-01-13,1.0
mukono,2020-01-14,2.0
mukono,2020-01-15,3.0
mukono,2020-01-16,4.0
mukono,2020-01-17,5.0
mukono,2020-01-18,6.0
mukono,2020-01-19,7.0
mukono,2020-01-20,8.0
mukono,2020-01-21,9.0
mukono,2020-01-22,10.0
mukono,2020-01-23,11.0
mukono,2020-01-24,12.0
mukono,2020-01-25,1.0
mukono,2020-01-26,2.0
mukono,2020-01-27,3.0
mukono,2020-01-28,4.0
mukono,2020-01-29,5.0
mukono,2020-01-30,6.0
mukono,2020-01-31,7.0
mukono,2020-02-01,8.0
mukono,2020-02-02,9.0
mukono,2020-02-03,10.0
mukono,2020-02-04,11.0
mukono,2020-02-05,12.0
mukono,2020-02-06,1.0
mukono,2020-02-07,2.0
mukono,2020-02-08,3.0
mukono,2020-02-09,4.0
mukono,2020-02-10,5.0
mukono,2020-02-11,6.0
mukono,2020-02-12,7.0
mukono,2020-02-13,8.0
mukono,2020-02-14,9.0
mukono,2020-02-15,10.0
mukono,2020-02-16,11.0
mukono,2020-02-17,12.0
mukono,2020-02-18,1.0
mukono,2020-02-19,2.0
mukono,2020-02-20,3.0
mukono,2020-02-21,4.0
mukono,2020-02-22,5.0
mukono,2020-02-23,6.0
mukono,2020-02-24,7.0
mukono,2020-02-25,8.0
mukono,2020-02-26,9.0
mukono,2020-02-27,10.0
mukono,2020-02-28,11.0
mukono,2020-02-29,12.0
mukono,2020-03-01,1.0
mukono,2020-03-02,2.0
mukono,2020-03-03,3.0
mukono,2020-03-04,4.0
mukono,2020-03-05,5.0
mukono,2020-03-06,6.0
mukono,2020-03-07,7.0
mukono,2020-03-08,8.0
mukono,2020-03-09,9.0
mukono,2020-03-10,10.0
mukono,2020-03-11,11.0
mukono,2020-03-12,12.0
mukono,2020-03-13,1.0
mukono,2020-03-14,2.0
mukono,2020-03-15,3.0
mukono,2020-03-16,4.0
mukono,2020-03-17,5.0
mukono,2020-03-18,6.0
mukono,2020-03-19,7.0
mukono,2020-03-20,8.0
mukono,2020-03-21,9.0
mukono,2020-03-22,10.0
mukono,2020-03-23,11.0
mukono,2020-03-24,12.0
mukono,2020-03-25,1.0
mukono,2020-03-26,2.0
mukono,2020-03-27,3.0
mukono,2020-03-28,4.0
mukono,2020-03-29,5.0
mukono,2020-03-30,6.0
mukono,2020-03-31,7.0
mukono,2020-04-01,8.0
mukono,2020-04-02,9.0
mukono,2020-04-03,10.0
mukono,2020-04-04,11.0
mukono,2020-04-05,12.0
mukono,2020-04-06,1.0
mukono,2020-04-07,2.0
mukono,2020-04-08,3.0
mukono,2020-04-09,4.0
mukono,2020-04-10,5.0
mukono,2020-04-11,6.0
mukono,2020-04-12,7.0
mukono,2020-04-13,8.0
