2026-09-14 10:37:36,598 | INFO | stage=start ingest_source_a
2026-09-14 10:37:36,615 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-14 10:37:36,615 | INFO | stage=start ingest_source_b
2026-09-14 10:37:36,639 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-14 10:37:36,640 | INFO | stage=start clean_data
2026-09-14 10:37:36,731 | INFO | clean_data rows_in=1010 rows_out=904
2026-09-14 10:37:36,731 | INFO | stage=start join_market_weather
2026-09-14 10:37:36,749 | INFO | join_market_weather rows_in=904 rows_out=904
2026-09-14 10:37:36,751 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-14 11:14:28,704 | INFO | stage=start ingest_source_a
2026-09-14 11:14:28,718 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-14 11:14:28,718 | INFO | stage=start ingest_source_b
2026-09-14 11:14:28,739 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-14 11:14:28,740 | INFO | stage=start clean_data
2026-09-14 11:14:29,131 | INFO | clean_data rows_in=1010 rows_out=904
2026-09-14 11:14:29,132 | INFO | stage=start join_market_weather
2026-09-14 11:14:29,146 | INFO | join_market_weather rows_in=904 rows_out=904
2026-09-14 11:14:29,147 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-14 11:19:40,836 | INFO | stage=start ingest_source_a
2026-09-14 11:19:40,848 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-14 11:19:40,849 | INFO | stage=start ingest_source_b
2026-09-14 11:19:40,874 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-14 11:19:40,874 | INFO | stage=start clean_data
2026-09-14 11:19:40,957 | INFO | clean_data rows_in=1010 rows_out=904
2026-09-14 11:19:40,957 | INFO | stage=start join_market_weather
2026-09-14 11:19:40,982 | INFO | join_market_weather rows_in=904 rows_out=904
2026-09-14 11:19:40,985 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-14 11:20:37,345 | INFO | stage=start ingest_source_a
2026-09-14 11:20:37,358 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-14 11:20:37,358 | INFO | stage=start ingest_source_b
2026-09-14 11:20:37,378 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-14 11:20:37,379 | INFO | stage=start clean_data
2026-09-14 11:20:37,469 | INFO | clean_data rows_in=1010 rows_out=904
2026-09-14 11:20:37,470 | INFO | stage=start join_market_weather
2026-09-14 11:20:37,491 | INFO | join_market_weather rows_in=904 rows_out=904
2026-09-14 11:20:37,493 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-14 11:20:58,376 | INFO | stage=start ingest_source_a
2026-09-14 11:20:58,387 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-14 11:20:58,388 | INFO | stage=start ingest_source_b
2026-09-14 11:20:58,416 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-14 11:20:58,417 | INFO | stage=start clean_data
2026-09-14 11:20:58,497 | INFO | clean_data rows_in=1010 rows_out=904
2026-09-14 11:20:58,497 | INFO | stage=start join_market_weather
2026-09-14 11:20:58,519 | INFO | join_market_weather rows_in=904 rows_out=904
2026-09-14 11:20:58,521 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-14 11:21:00,625 | INFO | stage=start ingest_source_a
2026-09-14 11:21:00,638 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-14 11:21:00,638 | INFO | stage=start ingest_source_b
2026-09-14 11:21:00,656 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-14 11:21:00,657 | INFO | stage=start clean_data
2026-09-14 11:21:00,739 | INFO | clean_data rows_in=1010 rows_out=904
2026-09-14 11:21:00,740 | INFO | stage=start join_market_weather
2026-09-14 11:21:00,766 | INFO | join_market_weather rows_in=904 rows_out=904
2026-09-14 11:21:00,770 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-14 15:45:29,253 | INFO | stage=start ingest_source_a
2026-09-14 15:45:29,283 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-14 15:45:29,283 | INFO | stage=start ingest_source_b
2026-09-14 15:45:34,385 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-14 15:45:34,386 | INFO | stage=start clean_data
2026-09-14 15:45:34,509 | INFO | clean_data rows_in=1010 rows_out=904
2026-09-14 15:45:34,510 | INFO | stage=start join_market_weather
2026-09-14 15:45:34,539 | INFO | join_market_weather rows_in=904 rows_out=904
2026-09-14 15:45:34,542 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-14 15:51:18,670 | INFO | stage=start ingest_source_a
2026-09-14 15:51:18,689 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-14 15:51:18,689 | INFO | stage=start ingest_source_b
2026-09-14 15:51:24,534 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-14 15:51:24,534 | INFO | stage=start clean_data
2026-09-14 15:51:24,632 | INFO | clean_data rows_in=1010 rows_out=904
2026-09-14 15:51:24,634 | INFO | stage=start join_market_weather
2026-09-14 15:51:24,660 | INFO | join_market_weather rows_in=904 rows_out=904
2026-09-14 15:51:24,662 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-25 12:34:42,768 | INFO | stage=start ingest_source_a
2026-09-25 12:34:42,782 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-25 12:34:42,783 | INFO | stage=start ingest_source_b
2026-09-25 12:34:47,378 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-25 12:34:47,379 | INFO | stage=start clean_data
2026-09-25 12:34:47,931 | INFO | clean_data rows_in=1010 rows_out=887
2026-09-25 12:34:47,932 | INFO | stage=start join_market_weather
2026-09-25 12:34:47,965 | INFO | join_market_weather rows_in=887 rows_out=887
2026-09-25 12:34:47,967 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-25 12:46:24,444 | INFO | stage=start ingest_source_a
2026-09-25 12:46:24,460 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-25 12:46:24,460 | INFO | stage=start ingest_source_b
2026-09-25 12:46:28,757 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-25 12:46:28,759 | INFO | stage=start clean_data
2026-09-25 12:46:28,823 | INFO | clean_data rows_in=1010 rows_out=887
2026-09-25 12:46:28,824 | INFO | stage=start join_market_weather
2026-09-25 12:46:28,850 | INFO | join_market_weather rows_in=887 rows_out=887
2026-09-25 12:46:28,852 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-25 12:54:31,251 | INFO | stage=start ingest_source_a
2026-09-25 12:54:31,277 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-25 12:54:31,278 | INFO | stage=start ingest_source_b
2026-09-25 12:54:31,359 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-25 12:54:31,360 | INFO | stage=start clean_data
2026-09-25 12:54:31,490 | INFO | clean_data rows_in=1010 rows_out=887
2026-09-25 12:54:31,492 | INFO | stage=start join_market_weather
2026-09-25 12:54:31,525 | INFO | join_market_weather rows_in=887 rows_out=887
2026-09-25 12:54:31,528 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-25 12:55:38,712 | INFO | stage=start ingest_source_a
2026-09-25 12:55:38,735 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-25 12:55:38,735 | INFO | stage=start ingest_source_b
2026-09-25 12:55:38,777 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-25 12:55:38,778 | INFO | stage=start clean_data
2026-09-25 12:55:39,226 | INFO | clean_data rows_in=1010 rows_out=887
2026-09-25 12:55:39,226 | INFO | stage=start join_market_weather
2026-09-25 12:55:39,242 | INFO | join_market_weather rows_in=887 rows_out=887
2026-09-25 12:55:39,243 | INFO | pipeline complete output=C:\Users\HP\dsc3103-project\data\processed\market_prices_with_rainfall.parquet
2026-09-25 12:58:19,306 | INFO | stage=start ingest_source_a
2026-09-25 12:58:19,338 | INFO | ingest_source_a rows_in=1010 rows_out=1010
2026-09-25 12:58:19,338 | INFO | stage=start ingest_source_b
2026-09-25 12:58:19,386 | INFO | ingest_source_b rows_in=3648 rows_out=3648
2026-09-25 12:58:19,386 | INFO | stage=start clean_data
2026-09-25 12:58:19,520 | INFO | clean_data rows_in=1010 rows_out=887
2026-09-25 12:58:19,522 | INFO | stage=start join_market_weather
